California,"2,519,133,600"
Alameda,"117,516,318"
Amador,"1,600,730"
Butte,"8,781,189"
Calaveras,"1,393,323"
Colusa,"1,383,208"
Contra Costa,"69,581,054"
Del Norte,"791,370"
El Dorado,"7,020,316"
Fresno,"41,503,371"
Glenn,"1,159,479"
Humboldt,"5,413,636"
Imperial,"8,598,682"
Inyo,"1,224,800"
Kern,"47,776,348"
Kings,"5,927,002"
Lake,"1,957,857"
Lassen,"1,300,945"
Los Angeles,"674,110,134"
Madera,"6,169,099"
Marin,"20,908,852"
Mariposa,"659,803"
Mendocino,"3,498,354"
Merced,"9,264,060"
Modoc,"415,422"
Mono,"1,006,336"
Monterey,"26,037,608"
Napa,"9,757,363"
Nevada,"4,035,298"
Orange,"215,713,224"
Placer,"19,268,828"
Plumas,"1,013,560"
Riverside,"74,478,442"
Sacramento,"79,978,705"
San Benito,"2,097,846"
San Bernardino,"81,034,922"
San Diego,"204,667,390"
San Joaquin,"27,434,164"
San Luis Obispo,"15,632,220"
San Mateo,"101,287,429"
Santa Barbara,"25,972,309"
Santa Clara,"263,792,340"
Santa Cruz,"13,209,421"
Shasta,"7,446,374"
Siskiyou,"1,781,013"
Solano,"21,471,282"
Sonoma,"26,506,846"
Stanislaus,"21,218,252"
Sutter,"3,362,332"
Tehama,"1,889,090"
Trinity,"396,616"
Tulare,"17,361,923"
Tuolumne,"2,454,125"
Ventura,"46,984,812"
Yolo,"13,228,129"
Yuba,"2,941,894"